Activité;Dénomination;Adresse complète;Commune;Code Postal;;Longitude;Latitude;;Lien_Tableau_Dynamique
Travaux de plâtrerie;GIANTI daniel; 12 RUE GASTON SALET 69170 TARARE;TARARE;69170;;4,432273;45,896575;;
Travaux de peinture et vitrerie;ENTREPRISE DUMAS; 49 CHEMIN DU BOIS 69140 RILLIEUX-LA-PAPE;RILLIEUX-LA-PAPE;69140;;4,885191;45,810216;;
Travaux de peinture et vitrerie;PIZZERA alain; 7 CHEMIN DU CHAMP LAURENT 69780 SAINT-PIERRE-DE-CHANDIEU;SAINT-PIERRE-DE-CHANDIEU;69780;;5,031258;45,644481;;
Travaux de peinture et vitrerie;MAIELLO; 13 RUE DES ETATS UNIS 69800 SAINT-PRIEST;SAINT-PRIEST;69800;;4,92277;45,699252;;
Travaux de plâtrerie;GUILLEMOT dominique; 242 ROUTE DE LA ROCHE 69210 FLEURIEUX-SUR-L'ARBRESLE;FLEURIEUX-SUR-L'ARBRESLE;69210;;4,655489;45,835656;;
Travaux de plâtrerie;CHAMBA guy; 65 CHEMIN DE CHEZ NANTES 69870 CHAMBOST-ALLIERES;CHAMBOST-ALLIERES;69870;;4,498846;46,030959;;
Travaux de peinture et vitrerie;SARL ALAIN ASSADA; 38 AVENUE DU 8 MAI 1945 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,906169;45,78845;;
Travaux de plâtrerie;CERQUEIRA antonio;BATIMENT B1 73 AVENUE DE BOHLEN 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,929387;45,766467;;
Travaux de peinture et vitrerie;BAHACHAME abdelaziz; 5 RUE ANNE FRANK 69700 GIVORS;GIVORS;69700;;4,763469;45,602797;;
Travaux de peinture et vitrerie;VERGUIN bruno; 505 ROUTE DU ROSSEON 69440 MORNANT;MORNANT;69440;;4,684655;45,619048;;
Travaux de plâtrerie;DEUNEULIN pierre; 21 RUE BONNAND 69003 LYON;LYON;69003;;4,885027;45,751957;;
Travaux de peinture et vitrerie;ELOY jean; 45 RUE DU RHONE 69007 LYON;LYON;69007;;4,82833;45,733046;;
Travaux de revètements des sols et des murs;SARL B.S.E.;ZAC DU PELOUX 229 CHEMIN DE LA CROIX DE FER 69400 LIMAS;LIMAS;69400;;4,720136;45,971649;;
Autres travaux de finition;FACADES PLATRERIE PEINTURE MONCEL; 15 CHEMIN DE LA CHARRIERE DU PUITS 69650 QUINCIEUX;QUINCIEUX;69650;;4,774298;45,912113;;
Travaux de revètements des sols et des murs;MASSON andre; 313 BOULEVARD PINEL 69200 VENISSIEUX;VENISSIEUX;69200;;4,887754;45,720996;;
Autres travaux de finition;BAVAI herve; 47 CHEMIN DU PRELONG 69210 LENTILLY;LENTILLY;69210;;4,678573;45,83176;;
Agencement de lieux de ventes;CHAUNIER claire; 8 CHEMIN DU GROSSAND 69126 BRINDAS;BRINDAS;69126;;4,705242;45,72613;;
Travaux de peinture et vitrerie;ETABLISSEMENTS JOSEPH GIROUD; 424 CHEMIN DES PORRIERES 69380 SAINT-JEAN-DES-VIGNES;SAINT-JEAN-DES-VIGNES;69380;;4,674837;45,872423;;
Travaux de peinture et vitrerie;FOUSSON franck; 5 IMPASSE BOILEAU 69330 MEYZIEU;MEYZIEU;69330;;5,00984;45,773157;;
Travaux de peinture et vitrerie;ROGER DANTHONY SARL; 25 RUE EMILE VIAL 69500 BRON;BRON;69500;;4,928089;45,743587;;
Autres travaux de finition;ROBIN jean; 31 COURS EUGENIE 69003 LYON;LYON;69003;;4,887561;45,746972;;
Travaux de revètements des sols et des murs;SOLMUREX;ZONE ARTISANALE  ALLEE DE LA CROIX DES HORMES 69250 MONTANAY;MONTANAY;69250;;4,874427;45,881498;;
Travaux de plâtrerie;JAG MAC A RIAN jean-claude; 9 RUE DES ANGES 69005 LYON;LYON;69005;;4,813411;45,756814;;
Agencement de lieux de ventes;TANDEM DECORATION; 49 AVENUE DU 8 MAI 1945 69160 TASSIN-LA-DEMI-LUNE;TASSIN-LA-DEMI-LUNE;69160;;4,766833;45,760691;;
Travaux de plâtrerie;DA SILVA ROCHA paulo;CZ MR FERNANDES JOAQUIM 20 RUE DES PREVOYANTS DE L'AVENIR 69003 LYON;LYON;69003;;4,871943;45,749974;;
Travaux de plâtrerie;HADEF fathi; 51 AVENUE GENERAL DE GAULLE 69110 SAINTE-FOY-LES-LYON;SAINTE-FOY-LES-LYON;69110;;4,791712;45,742207;;
Travaux de peinture et vitrerie;DAHMAN mohamed; 28 RUE EMILE ZOLA 69700 GIVORS;GIVORS;69700;;4,769521;45,584885;;
Travaux de plâtrerie;SOCIETE NOUVELLE DE CLOISONS SNC; 3 PLACE ROGER LAURENT 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,919748;45,770561;;
Travaux de peinture et vitrerie;ESTEVE humberto; 45 RUE D'ALMA 69400 VILLEFRANCHE-SUR-SAONE;VILLEFRANCHE-SUR-SAONE;69400;;4,71723;45,985642;;
Travaux de plâtrerie;ELEZAAR christian; 4 RUE ANDRE LOSTE 69590 SAINT-SYMPHORIEN-SUR-COISE;SAINT-SYMPHORIEN-SUR-COISE;69590;;4,456584;45,631684;;
Travaux de plâtrerie;BASTOS ALVES antonio; 2 RUE DU VIEUX COLLONGES 69660 COLLONGES-AU-MONT-D'OR;COLLONGES-AU-MONT-D'OR;69660;;4,833103;45,826129;;
Travaux de plâtrerie;FLASH TRAVAUX; 341 ROUTE DE VIENNE 69200 VENISSIEUX;VENISSIEUX;69200;;4,854347;45,721709;;
Travaux de revètements des sols et des murs;LA MAISON DU LINOLEUM andre; 12 RUE TERME 69001 LYON;LYON;69001;;4,831777;45,768517;;
Travaux de peinture et vitrerie;CAPUANO serge; 89 RUE DEDIEU 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,87116;45,769746;;
Travaux de plâtrerie;MARCEL BOHNY SARL; 23 RUE GORGE DE LOUP 69009 LYON;LYON;69009;;4,803963;45,769901;;
Agencement de lieux de ventes;GOLDENBERG AM; 3 RUE CUVIER 69006 LYON;LYON;69006;;4,841981;45,766598;;
Travaux de peinture et vitrerie;ALAOUI alexandre;LE CLOS DES JARDINS 7 RUE SARAH BERNHARDT 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,919291;45,750206;;
Travaux de peinture et vitrerie;ALONSO ludovic; 1924 ROUTE DE LONGSARD 69400 ARNAS;ARNAS;69400;;4,706966;46,024612;;
Travaux de plâtrerie;ENTREPRISE KAYA mevcut;CHEZ MME KESIM 15 RUE GEORGES GOUY 69007 LYON;LYON;69007;;4,836089;45,732645;;
Autres travaux de finition;SOC MODERN D'ETUDES & TRAVAUX; 172 ALLEE DU PRE AU LAVOIR 69290 CRAPONNE;CRAPONNE;69290;;4,717137;45,751178;;
Travaux de plâtrerie;GREGOT eric; 85 CHEMIN DE LA ROUSSE 69530 ORLIENAS;ORLIENAS;69530;;4,738936;45,663227;;
Autres travaux de finition;RAMA pedro; 12  GRANDE RUE 69800 SAINT-PRIEST;SAINT-PRIEST;69800;;4,943064;45,699109;;
Travaux de peinture et vitrerie;THABUIS eric; 12 LOT LES HAUTS DE L'ARCHETTE 69390 MILLERY;MILLERY;69390;;4,785434;45,628315;;
Travaux de plâtrerie;ALI jamel; 14 AVENUE MARCEL CACHIN 69200 VENISSIEUX;VENISSIEUX;69200;;4,877531;45,692123;;
Travaux de revètements des sols et des murs;GRIMALDI marcel; 95 AVENUE DE CORBETTA 69960 CORBAS;CORBAS;69960;;4,895396;45,66304;;
Travaux de peinture et vitrerie;SID pascal; 35 AVENUE PAUL DELORME 69580 SATHONAY-CAMP;SATHONAY-CAMP;69580;;4,869833;45,819697;;
Travaux de revètements des sols et des murs;COSTANTINI christian; 300 RUE DES GORDES 69360 SIMANDRES;SIMANDRES;69360;;4,870273;45,617919;;
Travaux de plâtrerie;JUNIQUE pascal; 258 ROUTE DES RONZIERES 69440 SAINT-LAURENT-D'AGNY;SAINT-LAURENT-D'AGNY;69440;;4,677061;45,647654;;
Travaux de peinture et vitrerie;AZAZI mohamed; 2 PLACE MARECHAL LYAUTEY 69140 RILLIEUX-LA-PAPE;RILLIEUX-LA-PAPE;69140;;4,904504;45,816065;;
Agencement de lieux de ventes;HALL EXPO;Z.I. NORD  ROUTE D'IRIGNY 69530 BRIGNAIS;BRIGNAIS;69530;;4,767311;45,673156;;
Travaux de peinture et vitrerie;DINC muhamet; 2 RUE DU 3 SEPTEMBRE 1944 69009 LYON;LYON;69009;;4,801546;45,772073;;
Travaux de revètements des sols et des murs;SOYLEYEN pierre; 42 AVENUE FELIX FAURE 69003 LYON;LYON;69003;;4,851928;45,752666;;
Travaux de peinture et vitrerie;DEROUICHE mohamed; 22 RUE DE LA PERLE 69500 BRON;BRON;69500;;4,903878;45,749637;;
Travaux de plâtrerie;A Z RENOVATION georges; 54 RUE PAUL VERLAINE 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,880443;45,763697;;
Travaux de plâtrerie;TOSUN adem;RES. JARDINS DE RASTEL 5 RUE DES PUISEURS 69008 LYON;LYON;69008;;4,881972;45,722136;;
Travaux de plâtrerie;GOMES manuel; 184 RUE DES FRAIRIES 69460 ODENAS;ODENAS;69460;;4,643403;46,091434;;
Travaux de plâtrerie;CANO didier;  ROUTE DU BATARD 69440 TALUYERS;TALUYERS;69440;;4,726228;45,636471;;
Travaux de peinture et vitrerie;BATAILLY didier; 9 CHEMIN DES EGLANTIERS 69380 LISSIEU;LISSIEU;69380;;4,73751;45,842874;;
Travaux de peinture et vitrerie;GUARD jerome; 6 RUE FROIDE 69510 MESSIMY;MESSIMY;69510;;4,673552;45,697645;;
Travaux de plâtrerie;DRIDI ahmed; 36 RUE SAINT GERVAIS 69008 LYON;LYON;69008;;4,86224;45,74219;;
Travaux de peinture et vitrerie;CLAIR gilles; 4 RUE BONNEFOND 69003 LYON;LYON;69003;;4,878885;45,748992;;
Travaux de plâtrerie;YILAR mustafa;LA CHARTONNIERE 691 ROUTE NATIONALE 6 69400 ARNAS;ARNAS;69400;;4,719698;46,005944;;
Travaux de peinture et vitrerie;SAUNIER daniel; 44 PLACE DES MAISONS NEUVES 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,878158;45,756234;;
Travaux de peinture et vitrerie;CALCAGNO michel; 60 COURS LAFAYETTE 69003 LYON;LYON;69003;;4,846847;45,763526;;
Travaux de plâtrerie;MIRANDA CORVAS joaquim;BAT 2  RUE DE BELLEVUE 69190 SAINT-FONS;SAINT-FONS;69190;;4,855641;45,697839;;
Travaux de plâtrerie;HIDRI abderraouf; 4 RUE JACQUES PREVERT 69140 RILLIEUX-LA-PAPE;RILLIEUX-LA-PAPE;69140;;4,900912;45,8159;;
Travaux de plâtrerie;RODRIGUES herminio; 27 RUE DANIELLE CASANOVA 69190 SAINT-FONS;SAINT-FONS;69190;;4,862427;45,710507;;
Travaux de peinture et vitrerie;SOLEANT roland; 26 RUE DE LA VISINA 69540 IRIGNY;IRIGNY;69540;;4,82007;45,674899;;
Travaux de peinture et vitrerie;CHAPON francois; 101 RUE DE LA PAGERE 69500 BRON;BRON;69500;;4,914726;45,740906;;
Travaux de peinture et vitrerie;JACQUEMIER; 37 RUE PROFESSEUR MORAT 69008 LYON;LYON;69008;;4,879029;45,734425;;
Travaux de peinture et vitrerie;PLATRERIE PEINTURE FICHET; 22 RUE JEAN PERRET 69630 CHAPONOST;CHAPONOST;69630;;4,743115;45,704011;;
Travaux de plâtrerie;SLIMANI moussa; 24 RUE LOUIS GOUX 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,891553;45,765641;;
Travaux de peinture et vitrerie;MIROITERIE DANYVER van; 7 RUE DANTON 69003 LYON;LYON;69003;;4,857491;45,756043;;
Travaux de revètements des sols et des murs;ZUCCA jean; 38 RUE HENRI GORJUS 69004 LYON;LYON;69004;;4,823704;45,78023;;
Travaux de plâtrerie;FUTOL christophe; 83 AVENUE PAUL SANTY 69008 LYON;LYON;69008;;4,876371;45,72983;;
Travaux de peinture et vitrerie;PINTO armenio; 14 CHEMIN DES PLATES 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,915861;45,780865;;
Travaux de plâtrerie;KAYA mehmet; 8 RUE DE LA LIGNE DE L'EST 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,903353;45,757344;;
Agencement de lieux de ventes;ROBERT christophe; 143 RUE PAUL BERT 69003 LYON;LYON;69003;;4,85574;45,757154;;
Agencement de lieux de ventes;FICHTER andre; 45 RUE CLAUDE BOYER 69007 LYON;LYON;69007;;4,848272;45,749007;;
Travaux de revètements des sols et des murs;THURY bernard; 78 AVENUE VALIOUD 69110 SAINTE-FOY-LES-LYON;SAINTE-FOY-LES-LYON;69110;;4,805421;45,738551;;
Travaux de peinture et vitrerie;DEBRATHANE;CAP VAISE 14 RUE GORGE DE LOUP 69009 LYON;LYON;69009;;4,804208;45,770056;;
Travaux de peinture et vitrerie;ANDRE VIAL; 78 RUE DU BOURBONNAIS 69009 LYON;LYON;69009;;4,797391;45,77367;;
Travaux de plâtrerie;AKSU ishak; 12 RUE GEORGES LYVET 69200 VENISSIEUX;VENISSIEUX;69200;;4,869303;45,698883;;
Travaux de revètements des sols et des murs;ENTREPRISE PARRAVANO MARCELLO marcello; 18 RUE DES TAMARIS 69780 TOUSSIEU;TOUSSIEU;69780;;4,987155;45,649739;;
Travaux de peinture et vitrerie;AMARO dionisio; 28 IMPASSE DU GRAND PRE 69160 TASSIN-LA-DEMI-LUNE;TASSIN-LA-DEMI-LUNE;69160;;4,74901;45,756665;;
Travaux de peinture et vitrerie;ATTIA simon; 550 CHEMIN DU MONIN 69490 ANCY;ANCY;69490;;4,498357;45,82122;;
Travaux de peinture et vitrerie;MIROITERIE PAULHAC;ZI LA MOUCHE  CHEMIN DE CHAPOLY-LAVAL 69230 SAINT-GENIS-LAVAL;SAINT-GENIS-LAVAL;69230;;4,814114;45,690067;;
Travaux de peinture et vitrerie;SIBILLE gerard; 3 RUE BONNAND 69003 LYON;LYON;69003;;4,885497;45,753249;;
Travaux de peinture et vitrerie;BURNIER philippe; 35 RUE PELISSON 69100 VILLEURBANNE;VILLEURBANNE;69100;;4,888195;45,773758;;
Travaux de plâtrerie;DHONDT david; 280 AVENUE BERTHELOT 69008 LYON;LYON;69008;;4,862269;45,738583;;
Travaux de peinture et vitrerie;MOMO raphael; 33 AVENUE GEORGES ROUGE 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,919374;45,784458;;
Agencement de lieux de ventes;MONT'EXPO;Z.I. NORD  ROUTE D'IRIGNY 69530 BRIGNAIS;BRIGNAIS;69530;;4,767311;45,673156;;
Travaux de revètements des sols et des murs;SCHMIDT jacqui; 14 RUE PASTEUR 69740 GENAS;GENAS;69740;;5,019544;45,730211;;
Travaux de revètements des sols et des murs;IDESOL; 57 CHEMIN DE LA MOUCHE 69230 SAINT-GENIS-LAVAL;SAINT-GENIS-LAVAL;69230;;4,815008;45,695129;;
Travaux de plâtrerie;SAS VANDERME; 15 RUE LOUIS SAILLANT 69120 VAULX-EN-VELIN;VAULX-EN-VELIN;69120;;4,939198;45,775897;;
Travaux de revètements des sols et des murs;MOUGINOT guy; 45 AVENUE DE LA TABLE DE PIERRE 69340 FRANCHEVILLE;FRANCHEVILLE;69340;;4,750984;45,747282;;
Travaux de plâtrerie;JAFFARI gharman; 19 ALLEE DES TAMARIS 69150 DECINES-CHARPIEU;DECINES-CHARPIEU;69150;;4,948526;45,754874;;
Travaux de peinture et vitrerie;THEVENOT alain; 6 RUE PIERRE TERMIER 69009 LYON;LYON;69009;;4,83727;45,807239;;
Travaux de peinture et vitrerie;DE BONIS gerard; 763 CHEMIN DE CHANTE MERLE 69970 MARENNES;MARENNES;69970;;4,905275;45,613906;;
Travaux de revètements des sols et des murs;VATOS andre; 56 RUE DE LA LIBERATION 69780 MIONS;MIONS;69780;;4,954064;45,655328;;
Travaux de peinture et vitrerie;HAFFNER thierry; 21 ALLEE GEORGE SAND 69330 JONAGE;JONAGE;69330;;5,046667;45,787111;;
